,A,2,3,4,5,6,7,8,9,10
"A,A",S,S,S,S,S,S,S,S,H,H
"10,10",S,S,S,S,S,S,S,S,S,S
"9,9",S,S,S,S,S,S,S,S,S,S
"8,8",S,S,S,S,S,S,S,S,S,S
"7,7",S,S,S,S,S,S,S,S,S,S
"6,6",S,S,S,P,P,P,P,P,H,H
"5,5",P,P,P,P,P,P,P,H,H,H
"4,4",P,P,P,P,P,P,H,H,H,H
"3,3",P,P,P,P,P,H,H,H,H,H
"2,2",P,P,P,P,H,H,H,H,H,H
"A,9",S,S,S,S,S,S,S,S,S,S
"A,8",S,S,S,S,S,S,S,S,S,S
"A,7",S,S,S,S,S,S,S,S,S,S
"A,6",S,S,S,S,D,D,S,S,S,S
"A,5",S,S,S,D,D,D,S,S,S,S
"A,4",S,S,S,D,D,D,S,S,S,H
"A,3",S,S,D,D,D,D,D,S,H,H
"A,2",S,S,D,D,D,D,D,H,H,H
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,S,S,S,S,S
15,S,S,S,S,S,S,S,S,S,H
14,S,S,S,S,S,S,S,S,H,H
13,S,S,S,D,S,S,S,H,H,H
12,H,S,D,D,S,S,H,H,H,H
11,H,D,D,D,S,H,H,H,H,H
10,H,D,D,D,H,H,H,H,H,H
9,H,D,D,H,H,H,H,H,H,H
8,H,D,D,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
